,Unnamed: 0,Date,Stage,Team,Home Goals,Team Against,Against Goals,Result,Win Conditions,Host Team
20,41,1879-01-18,Friendly,England,2,Wales,1,Win,normal ending,True
21,42,1879-01-18,Friendly,Wales,1,England,2,Loss,normal ending,True
28,57,1880-03-15,Friendly,Wales,2,England,3,Loss,normal ending,True
29,58,1880-03-15,Friendly,England,3,Wales,2,Win,normal ending,True
32,65,1881-02-26,Friendly,England,0,Wales,1,Loss,normal ending,True
33,66,1881-02-26,Friendly,Wales,1,England,0,Win,normal ending,True
44,89,1882-03-13,Friendly,Wales,5,England,3,Win,normal ending,True
45,90,1882-03-13,Friendly,England,3,Wales,5,Loss,normal ending,True
48,97,1883-02-03,Friendly,England,5,Wales,0,Win,normal ending,True
49,98,1883-02-03,Friendly,Wales,0,England,5,Loss,normal ending,True
64,129,1884-03-17,British Championship,Wales,0,England,4,Loss,normal ending,True
65,130,1884-03-17,British Championship,England,4,Wales,0,Win,normal ending,True
70,141,1885-03-14,British Championship,England,1,Wales,1,Draw,normal ending,True
71,142,1885-03-14,British Championship,Wales,1,England,1,Draw,normal ending,True
78,157,1885-11-28,Friendly,United States,0,Canada,1,Loss,normal ending,True
79,158,1885-11-28,Friendly,Canada,1,United States,0,Win,normal ending,True
86,173,1886-03-29,British Championship,Wales,1,England,3,Loss,normal ending,True
87,174,1886-03-29,British Championship,England,3,Wales,1,Win,normal ending,True
90,181,1886-11-25,Friendly,United States,3,Canada,2,Win,normal ending,True
91,182,1886-11-25,Friendly,Canada,2,United States,3,Loss,normal ending,True
94,189,1887-02-26,British Championship,England,4,Wales,0,Win,normal ending,True
95,190,1887-02-26,British Championship,Wales,0,England,4,Loss,normal ending,True
102,205,1888-02-04,British Championship,England,5,Wales,1,Win,normal ending,True
103,206,1888-02-04,British Championship,Wales,1,England,5,Loss,normal ending,True
114,229,1889-02-23,British Championship,England,4,Wales,1,Win,normal ending,True
115,230,1889-02-23,British Championship,Wales,1,England,4,Loss,normal ending,True
128,257,1890-03-15,British Championship,Wales,1,England,3,Loss,normal ending,True
129,258,1890-03-15,British Championship,England,3,Wales,1,Win,normal ending,True
136,273,1891-03-07,British Championship,England,4,Wales,1,Win,normal ending,True
137,274,1891-03-07,British Championship,Wales,1,England,4,Loss,normal ending,True
148,297,1892-03-05,British Championship,Wales,0,England,2,Loss,normal ending,True
149,298,1892-03-05,British Championship,England,2,Wales,0,Win,normal ending,True
156,313,1893-03-13,British Championship,England,6,Wales,0,Win,normal ending,True
157,314,1893-03-13,British Championship,Wales,0,England,6,Loss,normal ending,True
166,333,1894-03-12,British Championship,Wales,1,England,5,Loss,normal ending,True
167,334,1894-03-12,British Championship,England,5,Wales,1,Win,normal ending,True
176,353,1895-03-18,British Championship,England,1,Wales,1,Draw,normal ending,True
177,354,1895-03-18,British Championship,Wales,1,England,1,Draw,normal ending,True
186,373,1896-03-16,British Championship,Wales,1,England,9,Loss,normal ending,True
187,374,1896-03-16,British Championship,England,9,Wales,1,Win,normal ending,True
198,397,1897-03-29,British Championship,England,4,Wales,0,Win,normal ending,True
199,398,1897-03-29,British Championship,Wales,0,England,4,Loss,normal ending,True
208,417,1898-03-28,British Championship,Wales,0,England,3,Loss,normal ending,True
209,418,1898-03-28,British Championship,England,3,Wales,0,Win,normal ending,True
218,437,1899-03-20,British Championship,England,4,Wales,0,Win,normal ending,True
219,438,1899-03-20,British Championship,Wales,0,England,4,Loss,normal ending,True
228,457,1900-03-26,British Championship,Wales,1,England,1,Draw,normal ending,True
229,458,1900-03-26,British Championship,England,1,Wales,1,Draw,normal ending,True
236,473,1901-03-18,British Championship,England,6,Wales,0,Win,normal ending,True
237,474,1901-03-18,British Championship,Wales,0,England,6,Loss,normal ending,True
244,489,1902-03-03,British Championship,Wales,0,England,0,Draw,normal ending,True
245,490,1902-03-03,British Championship,England,0,Wales,0,Draw,normal ending,True
252,505,1902-07-20,Friendly,Uruguay,0,Argentina,6,Loss,normal ending,True
253,506,1902-07-20,Friendly,Argentina,6,Uruguay,0,Win,normal ending,True
256,513,1903-03-02,British Championship,England,2,Wales,1,Win,normal ending,True
257,514,1903-03-02,British Championship,Wales,1,England,2,Loss,normal ending,True
264,529,1903-09-13,Friendly,Argentina,2,Uruguay,3,Loss,normal ending,True
265,530,1903-09-13,Friendly,Uruguay,3,Argentina,2,Win,normal ending,True
266,533,1904-02-29,British Championship,Wales,2,England,2,Draw,normal ending,True
267,534,1904-02-29,British Championship,England,2,Wales,2,Draw,normal ending,True
276,553,1904-05-01,Friendly,Belgium,3,France,3,Draw,normal ending,True
277,554,1904-05-01,Friendly,France,3,Belgium,3,Draw,normal ending,True
278,557,1905-02-12,Friendly,France,1,Switzerland,0,Win,normal ending,True
279,558,1905-02-12,Friendly,Switzerland,0,France,1,Loss,normal ending,True
284,569,1905-03-27,British Championship,England,3,Wales,1,Win,normal ending,True
285,570,1905-03-27,British Championship,Wales,1,England,3,Loss,normal ending,True
290,581,1905-04-30,Friendly,Belgium,1,Netherlands,4,Loss,normal ending,True
291,582,1905-04-30,Friendly,Netherlands,4,Belgium,1,Win,normal ending,True
292,585,1905-05-07,Friendly,Belgium,7,France,0,Win,normal ending,True
293,586,1905-05-07,Friendly,France,0,Belgium,7,Loss,normal ending,True
294,589,1905-05-14,Friendly,Netherlands,4,Belgium,0,Win,normal ending,True
295,590,1905-05-14,Friendly,Belgium,0,Netherlands,4,Loss,normal ending,True
296,593,1905-08-15,Copa Lipton,Argentina,0,Uruguay,0,Draw,normal ending,True
297,594,1905-08-15,Copa Lipton,Uruguay,0,Argentina,0,Draw,normal ending,True
302,605,1906-03-19,British Championship,Wales,0,England,1,Loss,normal ending,True
303,606,1906-03-19,British Championship,England,1,Wales,0,Win,normal ending,True
308,617,1906-04-22,Friendly,France,0,Belgium,5,Loss,normal ending,True
309,618,1906-04-22,Friendly,Belgium,5,France,0,Win,normal ending,True
310,621,1906-04-29,Friendly,Belgium,5,Netherlands,0,Win,normal ending,True
311,622,1906-04-29,Friendly,Netherlands,0,Belgium,5,Loss,normal ending,True
312,625,1906-05-13,Friendly,Netherlands,2,Belgium,3,Loss,normal ending,True
313,626,1906-05-13,Friendly,Belgium,3,Netherlands,2,Win,normal ending,True
314,629,1906-08-15,Copa Lipton,Uruguay,0,Argentina,2,Loss,normal ending,True
315,630,1906-08-15,Copa Lipton,Argentina,2,Uruguay,0,Win,normal ending,True
316,633,1906-10-21,Copa Newton,Argentina,2,Uruguay,1,Win,normal ending,True
317,634,1906-10-21,Copa Newton,Uruguay,1,Argentina,2,Loss,normal ending,True
324,649,1907-03-18,British Championship,England,1,Wales,1,Draw,normal ending,True
325,650,1907-03-18,British Championship,Wales,1,England,1,Draw,normal ending,True
328,657,1907-04-14,Friendly,Belgium,1,Netherlands,3,Loss,normal ending,True
329,658,1907-04-14,Friendly,Netherlands,3,Belgium,1,Win,normal ending,True
330,661,1907-04-21,Friendly,Belgium,1,France,2,Loss,normal ending,True
331,662,1907-04-21,Friendly,France,2,Belgium,1,Win,normal ending,True
332,665,1907-05-09,Friendly,Netherlands,1,Belgium,2,Loss,normal ending,True
333,666,1907-05-09,Friendly,Belgium,2,Netherlands,1,Win,normal ending,True
338,677,1908-03-08,Friendly,Switzerland,1,France,2,Loss,normal ending,True
339,678,1908-03-08,Friendly,France,2,Switzerland,1,Win,normal ending,True
340,681,1908-03-16,British Championship,Wales,1,England,7,Loss,normal ending,True
341,682,1908-03-16,British Championship,England,7,Wales,1,Win,normal ending,True
342,685,1908-03-29,Friendly,Belgium,1,Netherlands,4,Loss,normal ending,True
343,686,1908-03-29,Friendly,Netherlands,4,Belgium,1,Win,normal ending,True
346,693,1908-04-05,Friendly,Switzerland,5,Germany,3,Win,normal ending,True
347,694,1908-04-05,Friendly,Germany,3,Switzerland,5,Loss,normal ending,True
350,701,1908-04-12,Friendly,France,1,Belgium,2,Loss,normal ending,True
351,702,1908-04-12,Friendly,Belgium,2,France,1,Win,normal ending,True
352,705,1908-04-26,Friendly,Netherlands,3,Belgium,1,Win,normal ending,True
353,706,1908-04-26,Friendly,Belgium,1,Netherlands,3,Loss,normal ending,True
354,709,1908-05-10,Friendly,Netherlands,4,France,1,Win,normal ending,True
355,710,1908-05-10,Friendly,France,1,Netherlands,4,Loss,normal ending,True
366,733,1908-08-15,Copa Lipton,Uruguay,2,Argentina,2,Draw,normal ending,True
367,734,1908-08-15,Copa Lipton,Argentina,2,Uruguay,2,Draw,normal ending,True
368,737,1908-09-13,Copa Newton,Argentina,2,Uruguay,1,Win,normal ending,True
369,738,1908-09-13,Copa Newton,Uruguay,1,Argentina,2,Loss,normal ending,True
370,741,1908-10-04,Copa Premio Honor Argentino,Argentina,0,Uruguay,1,Loss,normal ending,True
371,742,1908-10-04,Copa Premio Honor Argentino,Uruguay,1,Argentina,0,Win,normal ending,True
380,761,1909-03-15,British Championship,England,2,Wales,0,Win,normal ending,True
381,762,1909-03-15,British Championship,Wales,0,England,2,Loss,normal ending,True
384,769,1909-03-21,Friendly,Belgium,1,Netherlands,4,Loss,normal ending,True
385,770,1909-03-21,Friendly,Netherlands,4,Belgium,1,Win,normal ending,True
388,777,1909-04-04,Friendly,Germany,1,Switzerland,0,Win,normal ending,True
389,778,1909-04-04,Friendly,Switzerland,0,Germany,1,Loss,normal ending,True
392,785,1909-04-25,Friendly,Netherlands,4,Belgium,1,Win,normal ending,True
393,786,1909-04-25,Friendly,Belgium,1,Netherlands,4,Loss,normal ending,True
394,789,1909-05-09,Friendly,Belgium,5,France,2,Win,normal ending,True
395,790,1909-05-09,Friendly,France,2,Belgium,5,Loss,normal ending,True
402,805,1909-08-15,Copa Lipton,Argentina,2,Uruguay,1,Win,normal ending,True
403,806,1909-08-15,Copa Lipton,Uruguay,1,Argentina,2,Loss,normal ending,True
404,809,1909-09-19,Copa Newton,Uruguay,2,Argentina,2,Draw,normal ending,True
405,810,1909-09-19,Copa Newton,Argentina,2,Uruguay,2,Draw,normal ending,True
406,813,1909-10-10,Copa Premio Honor Argentino,Argentina,3,Uruguay,1,Win,normal ending,True
407,814,1909-10-10,Copa Premio Honor Argentino,Uruguay,1,Argentina,3,Loss,normal ending,True
412,825,1910-03-13,Friendly,Belgium,3,Netherlands,2,Win,normal ending,True
413,826,1910-03-13,Friendly,Netherlands,2,Belgium,3,Loss,normal ending,True
414,829,1910-03-14,British Championship,Wales,0,England,1,Loss,normal ending,True
415,830,1910-03-14,British Championship,England,1,Wales,0,Win,normal ending,True
418,837,1910-04-03,Friendly,France,0,Belgium,4,Loss,normal ending,True
419,838,1910-04-03,Friendly,Belgium,4,France,0,Win,normal ending,True
420,841,1910-04-03,Friendly,Switzerland,2,Germany,3,Loss,normal ending,True
421,842,1910-04-03,Friendly,Germany,3,Switzerland,2,Win,normal ending,True
422,845,1910-04-10,Friendly,Netherlands,7,Belgium,0,Win,normal ending,True
423,846,1910-04-10,Friendly,Belgium,0,Netherlands,7,Loss,normal ending,True
426,853,1910-04-24,Friendly,Netherlands,4,Germany,2,Win,normal ending,True
427,854,1910-04-24,Friendly,Germany,2,Netherlands,4,Loss,normal ending,True
430,861,1910-05-16,Friendly,Germany,0,Belgium,3,Loss,normal ending,True
431,862,1910-05-16,Friendly,Belgium,3,Germany,0,Win,normal ending,True
438,877,1910-06-12,Friendly,Argentina,4,Uruguay,1,Win,normal ending,True
439,878,1910-06-12,Friendly,Uruguay,1,Argentina,4,Loss,normal ending,True
440,881,1910-08-15,Copa Lipton,Uruguay,3,Argentina,1,Win,normal ending,True
441,882,1910-08-15,Copa Lipton,Argentina,1,Uruguay,3,Loss,normal ending,True
444,889,1910-10-16,Friendly,Germany,1,Netherlands,2,Loss,normal ending,True
445,890,1910-10-16,Friendly,Netherlands,2,Germany,1,Win,normal ending,True
446,893,1910-11-13,Copa Premio Honor Argentino,Argentina,1,Uruguay,1,Draw,normal ending,True
447,894,1910-11-13,Copa Premio Honor Argentino,Uruguay,1,Argentina,1,Draw,normal ending,True
448,897,1910-11-27,Copa Premio Honor Argentino,Argentina,2,Uruguay,6,Loss,normal ending,True
449,898,1910-11-27,Copa Premio Honor Argentino,Uruguay,6,Argentina,2,Win,normal ending,True
460,921,1911-03-13,British Championship,England,3,Wales,0,Win,normal ending,True
461,922,1911-03-13,British Championship,Wales,0,England,3,Loss,normal ending,True
462,925,1911-03-19,Friendly,Belgium,1,Netherlands,5,Loss,normal ending,True
463,926,1911-03-19,Friendly,Netherlands,5,Belgium,1,Win,normal ending,True
464,929,1911-03-26,Friendly,Germany,6,Switzerland,2,Win,normal ending,True
465,930,1911-03-26,Friendly,Switzerland,2,Germany,6,Loss,normal ending,True
468,937,1911-04-02,Friendly,Netherlands,3,Belgium,1,Win,normal ending,True
469,938,1911-04-02,Friendly,Belgium,1,Netherlands,3,Loss,normal ending,True
472,945,1911-04-23,Friendly,Belgium,2,Germany,1,Win,normal ending,True
473,946,1911-04-23,Friendly,Germany,1,Belgium,2,Loss,normal ending,True
474,949,1911-04-23,Friendly,Switzerland,5,France,2,Win,normal ending,True
475,950,1911-04-23,Friendly,France,2,Switzerland,5,Loss,normal ending,True
476,953,1911-04-30,Friendly,Belgium,7,France,1,Win,normal ending,True
477,954,1911-04-30,Friendly,France,1,Belgium,7,Loss,normal ending,True
484,969,1911-08-15,Copa Lipton,Argentina,0,Uruguay,2,Loss,normal ending,True
485,970,1911-08-15,Copa Lipton,Uruguay,2,Argentina,0,Win,normal ending,True
486,973,1911-09-17,Copa Newton,Uruguay,2,Argentina,3,Loss,normal ending,True
487,974,1911-09-17,Copa Newton,Argentina,3,Uruguay,2,Win,normal ending,True
488,977,1911-10-08,Copa Premio Honor Uruguayo,Uruguay,1,Argentina,1,Draw,normal ending,True
489,978,1911-10-08,Copa Premio Honor Uruguayo,Argentina,1,Uruguay,1,Draw,normal ending,True
492,985,1911-10-22,Copa Premio Honor Argentino,Argentina,2,Uruguay,0,Win,normal ending,True
493,986,1911-10-22,Copa Premio Honor Argentino,Uruguay,0,Argentina,2,Loss,normal ending,True
500,1001,1911-10-29,Copa Premio Honor Uruguayo,Uruguay,3,Argentina,0,Win,normal ending,True
501,1002,1911-10-29,Copa Premio Honor Uruguayo,Argentina,0,Uruguay,3,Loss,normal ending,True
504,1009,1912-01-28,Friendly,France,1,Belgium,1,Draw,normal ending,True
505,1010,1912-01-28,Friendly,Belgium,1,France,1,Draw,normal ending,True
510,1021,1912-02-18,Friendly,France,4,Switzerland,1,Win,normal ending,True
511,1022,1912-02-18,Friendly,Switzerland,1,France,4,Loss,normal ending,True
512,1025,1912-02-20,Friendly,Belgium,9,Switzerland,2,Win,normal ending,True
513,1026,1912-02-20,Friendly,Switzerland,2,Belgium,9,Loss,normal ending,True
516,1033,1912-03-10,Friendly,Belgium,1,Netherlands,2,Loss,normal ending,True
517,1034,1912-03-10,Friendly,Netherlands,2,Belgium,1,Win,normal ending,True
518,1037,1912-03-11,British Championship,Wales,0,England,2,Loss,normal ending,True
519,1038,1912-03-11,British Championship,England,2,Wales,0,Win,normal ending,True
524,1049,1912-03-24,Friendly,Netherlands,5,Germany,5,Draw,normal ending,True
525,1050,1912-03-24,Friendly,Germany,5,Netherlands,5,Draw,normal ending,True
530,1061,1912-04-28,Friendly,Netherlands,4,Belgium,3,Win,normal ending,True
531,1062,1912-04-28,Friendly,Belgium,3,Netherlands,4,Loss,normal ending,True
532,1065,1912-05-05,Friendly,Switzerland,1,Germany,2,Loss,normal ending,True
533,1066,1912-05-05,Friendly,Germany,2,Switzerland,1,Win,normal ending,True
536,1073,1912-08-15,Copa Lipton,Uruguay,2,Argentina,0,Win,normal ending,True
537,1074,1912-08-15,Copa Lipton,Argentina,0,Uruguay,2,Loss,normal ending,True
538,1077,1912-08-25,Copa Premio Honor Uruguayo,Uruguay,3,Argentina,0,Win,normal ending,True
539,1078,1912-08-25,Copa Premio Honor Uruguayo,Argentina,0,Uruguay,3,Loss,normal ending,True
540,1081,1912-09-22,Copa Premio Honor Argentino,Argentina,0,Uruguay,1,Loss,normal ending,True
541,1082,1912-09-22,Copa Premio Honor Argentino,Uruguay,1,Argentina,0,Win,normal ending,True
542,1085,1912-10-06,Copa Newton,Argentina,3,Uruguay,3,Draw,normal ending,True
543,1086,1912-10-06,Copa Newton,Uruguay,3,Argentina,3,Draw,normal ending,True
544,1089,1912-10-06,Friendly,Denmark,3,Germany,1,Win,normal ending,True
545,1090,1912-10-06,Friendly,Germany,1,Denmark,3,Loss,normal ending,True
546,1093,1912-11-17,Friendly,Germany,2,Netherlands,3,Loss,normal ending,True
547,1094,1912-11-17,Friendly,Netherlands,3,Germany,2,Win,normal ending,True
548,1097,1912-12-01,Friendly,Uruguay,1,Argentina,3,Loss,normal ending,True
549,1098,1912-12-01,Friendly,Argentina,3,Uruguay,1,Win,normal ending,True
558,1117,1913-02-16,Friendly,Belgium,3,France,0,Win,normal ending,True
559,1118,1913-02-16,Friendly,France,0,Belgium,3,Loss,normal ending,True
562,1125,1913-03-09,Friendly,Belgium,3,Netherlands,3,Draw,normal ending,True
563,1126,1913-03-09,Friendly,Netherlands,3,Belgium,3,Draw,normal ending,True
564,1129,1913-03-09,Friendly,Switzerland,1,France,4,Loss,normal ending,True
565,1130,1913-03-09,Friendly,France,4,Switzerland,1,Win,normal ending,True
566,1133,1913-03-17,British Championship,England,4,Wales,3,Win,normal ending,True
567,1134,1913-03-17,British Championship,Wales,3,England,4,Loss,normal ending,True
572,1145,1913-04-20,Friendly,Netherlands,2,Belgium,4,Loss,normal ending,True
573,1146,1913-04-20,Friendly,Belgium,4,Netherlands,2,Win,normal ending,True
576,1153,1913-05-04,Friendly,Switzerland,1,Belgium,2,Loss,normal ending,True
577,1154,1913-05-04,Friendly,Belgium,2,Switzerland,1,Win,normal ending,True
578,1157,1913-05-18,Friendly,Germany,1,Switzerland,2,Loss,normal ending,True
579,1158,1913-05-18,Friendly,Switzerland,2,Germany,1,Win,normal ending,True
582,1165,1913-06-15,Friendly,Argentina,1,Uruguay,1,Draw,normal ending,True
583,1166,1913-06-15,Friendly,Uruguay,1,Argentina,1,Draw,normal ending,True
584,1169,1913-07-09,Friendly,Argentina,2,Uruguay,1,Win,normal ending,True
585,1170,1913-07-09,Friendly,Uruguay,1,Argentina,2,Loss,normal ending,True
586,1173,1913-08-15,Copa Lipton,Argentina,4,Uruguay,0,Win,normal ending,True
587,1174,1913-08-15,Copa Lipton,Uruguay,0,Argentina,4,Loss,normal ending,True
588,1177,1913-08-31,Copa Premio Honor Argentino,Argentina,2,Uruguay,0,Win,normal ending,True
589,1178,1913-08-31,Copa Premio Honor Argentino,Uruguay,0,Argentina,2,Loss,normal ending,True
594,1189,1913-10-05,Copa Premio Honor Uruguayo,Uruguay,1,Argentina,0,Win,normal ending,True
595,1190,1913-10-05,Copa Premio Honor Uruguayo,Argentina,0,Uruguay,1,Loss,normal ending,True
596,1193,1913-10-26,Friendly,Germany,1,Denmark,4,Loss,normal ending,True
597,1194,1913-10-26,Friendly,Denmark,4,Germany,1,Win,normal ending,True
598,1197,1913-10-26,Copa Newton,Uruguay,1,Argentina,0,Win,normal ending,True
599,1198,1913-10-26,Copa Newton,Argentina,0,Uruguay,1,Loss,normal ending,True
600,1201,1913-11-02,Friendly,Belgium,2,Switzerland,0,Win,normal ending,True
601,1202,1913-11-02,Friendly,Switzerland,0,Belgium,2,Loss,normal ending,True
602,1205,1913-11-23,Friendly,Belgium,6,Germany,2,Win,normal ending,True
603,1206,1913-11-23,Friendly,Germany,2,Belgium,6,Loss,normal ending,True
606,1213,1914-01-25,Friendly,France,4,Belgium,3,Win,normal ending,True
607,1214,1914-01-25,Friendly,Belgium,3,France,4,Loss,normal ending,True
614,1229,1914-03-08,Friendly,France,2,Switzerland,2,Draw,normal ending,True
615,1230,1914-03-08,Friendly,Switzerland,2,France,2,Draw,normal ending,True
616,1233,1914-03-15,Friendly,Belgium,2,Netherlands,4,Loss,normal ending,True
617,1234,1914-03-15,Friendly,Netherlands,4,Belgium,2,Win,normal ending,True
618,1237,1914-03-16,British Championship,Wales,0,England,2,Loss,normal ending,True
619,1238,1914-03-16,British Championship,England,2,Wales,0,Win,normal ending,True
624,1249,1914-04-05,Friendly,Netherlands,4,Germany,4,Draw,normal ending,True
625,1250,1914-04-05,Friendly,Germany,4,Netherlands,4,Draw,normal ending,True
628,1257,1914-04-26,Friendly,Netherlands,4,Belgium,2,Win,normal ending,True
629,1258,1914-04-26,Friendly,Belgium,2,Netherlands,4,Loss,normal ending,True
630,1261,1914-05-17,Friendly,Denmark,4,Netherlands,3,Win,normal ending,True
631,1262,1914-05-17,Friendly,Netherlands,3,Denmark,4,Loss,normal ending,True
636,1273,1914-08-30,Copa Premio Honor Uruguayo,Uruguay,3,Argentina,2,Win,normal ending,True
637,1274,1914-08-30,Copa Premio Honor Uruguayo,Argentina,2,Uruguay,3,Loss,normal ending,True
638,1277,1914-09-13,Copa Premio Honor Argentino,Argentina,2,Uruguay,1,Win,normal ending,True
639,1278,1914-09-13,Copa Premio Honor Argentino,Uruguay,1,Argentina,2,Loss,normal ending,True
640,1281,1914-09-20,Friendly,Argentina,3,Brazil,0,Win,normal ending,True
641,1282,1914-09-20,Friendly,Brazil,0,Argentina,3,Loss,normal ending,True
642,1285,1914-09-27,Copa Roca,Argentina,0,Brazil,1,Loss,normal ending,True
643,1286,1914-09-27,Copa Roca,Brazil,1,Argentina,0,Win,normal ending,True
648,1297,1915-07-18,Copa Premio Honor Uruguayo,Uruguay,2,Argentina,3,Loss,normal ending,True
649,1298,1915-07-18,Copa Premio Honor Uruguayo,Argentina,3,Uruguay,2,Win,normal ending,True
650,1301,1915-08-15,Copa Lipton,Argentina,2,Uruguay,1,Win,normal ending,True
651,1302,1915-08-15,Copa Lipton,Uruguay,1,Argentina,2,Loss,normal ending,True
652,1305,1915-09-12,Copa Newton,Uruguay,2,Argentina,0,Win,normal ending,True
653,1306,1915-09-12,Copa Newton,Argentina,0,Uruguay,2,Loss,normal ending,True
668,1337,1916-07-10,Copa America,Argentina,1,Brazil,1,Draw,normal ending,True
669,1338,1916-07-10,Copa America,Brazil,1,Argentina,1,Draw,normal ending,True
672,1345,1916-07-12,Copa America,Brazil,1,Uruguay,2,Loss,normal ending,False
673,1346,1916-07-12,Copa America,Uruguay,2,Brazil,1,Win,normal ending,False
676,1353,1916-07-17,Copa America,Argentina,0,Uruguay,0,Draw,normal ending,True
677,1354,1916-07-17,Copa America,Uruguay,0,Argentina,0,Draw,normal ending,True
678,1357,1916-07-18,Friendly,Uruguay,0,Brazil,1,Loss,normal ending,True
679,1358,1916-07-18,Friendly,Brazil,1,Uruguay,0,Win,normal ending,True
680,1361,1916-08-15,Copa Newton,Argentina,3,Uruguay,1,Win,normal ending,True
681,1362,1916-08-15,Copa Newton,Uruguay,1,Argentina,3,Loss,normal ending,True
682,1365,1916-08-15,Copa Lipton,Uruguay,1,Argentina,2,Loss,normal ending,True
683,1366,1916-08-15,Copa Lipton,Argentina,2,Uruguay,1,Win,normal ending,True
688,1377,1916-10-01,Friendly,Argentina,7,Uruguay,2,Win,normal ending,True
689,1378,1916-10-01,Friendly,Uruguay,2,Argentina,7,Loss,normal ending,True
690,1381,1916-10-01,Copa Premio Honor Uruguayo,Uruguay,0,Argentina,1,Loss,normal ending,True
691,1382,1916-10-01,Copa Premio Honor Uruguayo,Argentina,1,Uruguay,0,Win,normal ending,True
696,1393,1916-10-29,Friendly,Uruguay,3,Argentina,1,Win,normal ending,True
697,1394,1916-10-29,Friendly,Argentina,1,Uruguay,3,Loss,normal ending,True
704,1409,1917-07-18,Copa Premio Honor Uruguayo,Uruguay,0,Argentina,2,Loss,normal ending,True
705,1410,1917-07-18,Copa Premio Honor Uruguayo,Argentina,2,Uruguay,0,Win,normal ending,True
706,1413,1917-08-15,Copa Lipton,Argentina,1,Uruguay,0,Win,normal ending,True
707,1414,1917-08-15,Copa Lipton,Uruguay,0,Argentina,1,Loss,normal ending,True
708,1417,1917-09-02,Copa Newton,Uruguay,1,Argentina,0,Win,normal ending,True
709,1418,1917-09-02,Copa Newton,Argentina,0,Uruguay,1,Loss,normal ending,True
712,1425,1917-10-03,Copa America,Argentina,4,Brazil,2,Win,normal ending,False
713,1426,1917-10-03,Copa America,Brazil,2,Argentina,4,Loss,normal ending,False
718,1437,1917-10-07,Copa America,Uruguay,4,Brazil,0,Win,normal ending,True
719,1438,1917-10-07,Copa America,Brazil,0,Uruguay,4,Loss,normal ending,True
724,1449,1917-10-14,Copa America,Uruguay,1,Argentina,0,Win,normal ending,True
725,1450,1917-10-14,Copa America,Argentina,0,Uruguay,1,Loss,normal ending,True
726,1453,1917-10-16,Friendly,Uruguay,3,Brazil,1,Win,normal ending,True
727,1454,1917-10-16,Friendly,Brazil,1,Uruguay,3,Loss,normal ending,True
740,1481,1918-07-18,Copa Premio Honor Uruguayo,Uruguay,1,Argentina,1,Draw,normal ending,True
741,1482,1918-07-18,Copa Premio Honor Uruguayo,Argentina,1,Uruguay,1,Draw,normal ending,True
742,1485,1918-07-28,Copa Premio Honor Uruguayo,Uruguay,3,Argentina,1,Win,normal ending,True
743,1486,1918-07-28,Copa Premio Honor Uruguayo,Argentina,1,Uruguay,3,Loss,normal ending,True
744,1489,1918-08-15,Copa Premio Honor Argentino,Argentina,0,Uruguay,0,Draw,normal ending,True
745,1490,1918-08-15,Copa Premio Honor Argentino,Uruguay,0,Argentina,0,Draw,normal ending,True
746,1493,1918-08-25,Copa Premio Honor Argentino,Argentina,2,Uruguay,1,Win,normal ending,True
747,1494,1918-08-25,Copa Premio Honor Argentino,Uruguay,1,Argentina,2,Loss,normal ending,True
748,1497,1918-09-20,Copa Lipton,Uruguay,1,Argentina,1,Draw,normal ending,True
749,1498,1918-09-20,Copa Lipton,Argentina,1,Uruguay,1,Draw,normal ending,True
750,1501,1918-09-29,Copa Newton,Argentina,2,Uruguay,0,Win,normal ending,True
751,1502,1918-09-29,Copa Newton,Uruguay,0,Argentina,2,Loss,normal ending,True
756,1513,1919-03-09,Friendly,Belgium,2,France,2,Draw,normal ending,True
757,1514,1919-03-09,Friendly,France,2,Belgium,2,Draw,normal ending,True
762,1525,1919-05-13,Copa America,Argentina,2,Uruguay,3,Loss,normal ending,False
763,1526,1919-05-13,Copa America,Uruguay,3,Argentina,2,Win,normal ending,False
768,1537,1919-05-18,Copa America,Brazil,3,Argentina,1,Win,normal ending,True
769,1538,1919-05-18,Copa America,Argentina,1,Brazil,3,Loss,normal ending,True
776,1553,1919-05-26,Copa America,Brazil,2,Uruguay,2,Draw,normal ending,True
777,1554,1919-05-26,Copa America,Uruguay,2,Brazil,2,Draw,normal ending,True
778,1557,1919-05-29,Copa America,Brazil,1,Uruguay,0,Win,normal ending,True
779,1558,1919-05-29,Copa America,Uruguay,0,Brazil,1,Loss,normal ending,True
780,1561,1919-06-01,Friendly,Brazil,3,Argentina,3,Draw,normal ending,True
781,1562,1919-06-01,Friendly,Argentina,3,Brazil,3,Draw,normal ending,True
788,1577,1919-07-18,Copa Premio Honor Uruguayo,Uruguay,4,Argentina,1,Win,normal ending,True
789,1578,1919-07-18,Copa Premio Honor Uruguayo,Argentina,1,Uruguay,4,Loss,normal ending,True
792,1585,1919-08-24,Copa Newton,Uruguay,2,Argentina,1,Win,normal ending,True
793,1586,1919-08-24,Copa Newton,Argentina,1,Uruguay,2,Loss,normal ending,True
796,1593,1919-09-07,Copa Lipton,Argentina,1,Uruguay,2,Loss,normal ending,True
797,1594,1919-09-07,Copa Lipton,Uruguay,2,Argentina,1,Win,normal ending,True
802,1605,1919-10-19,Copa Premio Honor Argentino,Argentina,6,Uruguay,1,Win,normal ending,True
